LS,27/03/2018 16:36,,,
File name:,AOB010_08.$av,,,
File ID:,AOB010,,,
Sample ID:,Lolobinanague,,,
Operator:,MDR,,,
Bar code:,,,,
Comment 1:,"Ambae ash, March 2018",,,
Comment 2:,West Ambae,,,
,,,,
Channel Diameter (Center),Diff.,-2 S.D.,+2 S.D.,Cum. <
um,Volume,Diff.,Diff.,Volume
,%,Volume,Volume,%
,,%,%,
0.393033,0.0115413,0.0111808,0.0119018,0
0.431458,0.0205835,0.0199168,0.0212502,0.0115413
0.473639,0.0304244,0.0294208,0.031428,0.0321248
0.519944,0.0434842,0.0420415,0.0449269,0.0625492
0.570777,0.0542891,0.0524459,0.0561323,0.106033
0.626578,0.0637498,0.0616279,0.0658716,0.160322
0.687836,0.0722205,0.0696911,0.0747499,0.224072
0.755082,0.0802798,0.0774205,0.083139,0.296293
0.828903,0.0866925,0.0835167,0.0898683,0.376572
0.90994,0.0912575,0.0877712,0.0947438,0.463265
0.9989,0.0940814,0.0903703,0.0977925,0.554522
1.09656,0.0954032,0.0913859,0.0994205,0.648604
1.20376,0.0955107,0.09132,0.0997014,0.744007
1.32145,0.0943005,0.0899967,0.0986043,0.839518
1.45064,0.0922143,0.0878454,0.0965832,0.933818
1.59246,0.0896691,0.0851338,0.0942044,1.02603
1.74815,0.0875363,0.0829223,0.0921503,1.1157
1.91906,0.0862487,0.0814771,0.0910203,1.20324
2.10667,0.0863578,0.0815037,0.0912119,1.28949
2.31263,0.0883856,0.0833234,0.0934478,1.37584
2.53872,0.0929847,0.0876304,0.098339,1.46423
2.78692,0.100817,0.0951031,0.106531,1.55721
3.05939,0.11225,0.106037,0.118463,1.65803
3.35849,0.127554,0.120536,0.134572,1.77028
3.68682,0.146594,0.138595,0.154593,1.89784
4.04726,0.169455,0.16016,0.17875,2.04443
4.44294,0.195955,0.184971,0.206939,2.21388
4.87731,0.225979,0.213176,0.238782,2.40984
5.35414,0.259005,0.244064,0.273946,2.63582
5.87759,0.294529,0.277285,0.311773,2.89482
6.45221,0.332199,0.312538,0.35186,3.18935
7.08301,0.371741,0.349877,0.393605,3.52155
7.77547,0.413188,0.389581,0.436795,3.89329
8.53563,0.455936,0.431383,0.480489,4.30648
9.37012,0.499743,0.475179,0.524307,4.76242
10.2862,0.543848,0.521015,0.566681,5.26216
11.2918,0.588737,0.568712,0.608762,5.80601
12.3958,0.634493,0.621668,0.647318,6.39474
13.6076,0.681396,0.675493,0.687299,7.02924
14.938,0.728824,0.723071,0.734577,7.71063
16.3984,0.776047,0.75835,0.793744,8.43946
18.0016,0.824317,0.798281,0.850353,9.2155
19.7615,0.876067,0.843804,0.90833,10.0398
21.6935,0.93593,0.903065,0.968795,10.9159
23.8143,1.00651,0.977863,1.03516,11.8518
26.1425,1.08762,1.07045,1.10479,12.8583
28.6983,1.17492,1.16688,1.18296,13.9459
31.504,1.26133,1.24979,1.27287,15.1209
34.584,1.34074,1.31371,1.36777,16.3822
37.9652,1.40952,1.37738,1.44166,17.7229
41.6768,1.46871,1.44318,1.49424,19.1325
45.7513,1.5229,1.5116,1.5342,20.6012
50.2242,1.57892,1.5641,1.59374,22.1241
55.1343,1.6444,1.61033,1.67847,23.703
60.5245,1.72545,1.68523,1.76567,25.3474
66.4417,1.82598,1.79323,1.85873,27.0728
72.9374,1.94659,1.93469,1.95849,28.8988
80.0681,2.08502,2.07031,2.09973,30.8454
87.8959,2.237,2.20822,2.26578,32.9304
96.4892,2.39759,2.3643,2.43088,35.1674
105.922,2.56581,2.5423,2.58932,37.565
116.278,2.75005,2.72562,2.77448,40.1308
127.646,2.97474,2.9435,3.00598,42.8809
140.125,3.27182,3.22073,3.32291,45.8556
153.824,3.66159,3.59184,3.73134,49.1274
168.863,4.12015,4.05013,4.19018,52.789
185.372,4.5609,4.52198,4.59982,56.9092
203.495,4.85012,4.839,4.86124,61.4701
223.389,4.86737,4.81766,4.91708,66.3202
245.228,4.58062,4.52602,4.63522,71.1876
269.203,4.083,4.07019,4.09581,75.7682
295.522,3.54619,3.49165,3.60073,79.8512
324.414,3.12373,3.02255,3.22491,83.3974
356.13,2.87614,2.76857,2.98371,86.5211
390.946,2.74247,2.68893,2.79601,89.3972
429.167,2.57968,2.53704,2.62232,92.1397
471.125,2.2408,2.09205,2.38955,94.7194
517.184,1.67101,1.45124,1.89078,96.9602
567.746,0.94169,0.752589,1.13079,98.6312
623.252,0.355806,0.25269,0.458921,99.5729
684.184,0.066431,0.0421893,0.0906727,99.9287
751.073,0.00488409,0.00243335,0.00733483,99.9951
824.502,0,0,0,100
905.109,0,0,0,100
993.595,0,0,0,100
1090.73,0,0,0,100
1197.37,0,0,0,100
1314.44,0,0,0,100
1442.94,0,0,0,100
1584.01,0,0,0,100
1738.86,0,0,0,100
1908.86,0,0,0,100
,,,,100
